Course Code,Course Title,Broad Subject,Setting,Credentials Authorizing Course,Notes
7700,Introduction to Engineering and Architecture,Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7710,Intermediate Architectural Design (Concentrator),Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7711,Advanced Architectural Design (Capstone),Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7720,Intermediate Engineering Technology (Concentrator),Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7721,Advanced Engineering Technology (Capstone),Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7730,Intermediate Engineering Design (Concentrator),Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7731,Advanced Engineering Design (Capstone),Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7740,Intermediate Environmental Engineering (Concentrator),Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7741,Advanced Environmental Engineering (Capstone),Engineering and Architecture,Career Technical Education,Full Authorization:CTE: Engineering and ArchitectureSingle Subject*: Industrial and Technology Education,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7800,Introduction to Fashion and Interior Design,Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7810,Intermediate Fashion Design and Merchandising (Concentrator),Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7811,Advanced Fashion Design and Merchandising (Capstone),Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7820,Intermediate Interior Design (Concentrator),Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7821,Advanced Interior Design (Capstone),Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7830,Intermediate Makeup Artistry (Level 1) (Concentrator),Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7831,Advanced Makeup Artistry (Level 2) (Capstone),Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7832,Introduction to Barbering,Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
7833,Intermediate Level 2 Barbering (Concentrator),Fashion and Interior Design,Career Technical Education,Full Authorization:CTE: Fashion and Interior DesignSingle Subject*: Home Economics,*Use of flexibility afforded through Title 5 80004(c) is at the discretion of the employing agency.
